id_left,id_right
cbdc22fda89e4b6cd7188d70c949692b2d8b7d82,12ae697af15f0090ee36ea8838261ef2db787e09
cdc37fe9475bbf0013d07f5efdb8045a58934908,aea8cd4a15804f67c0cd0af352a8405df18534c7
d826941d5970050a7f1b819e595a80134184b635,cc232095d499f71ace9eb8543cd0404c4f18bb1f
4249560901138ebb111c0c068b0753cf041a92ba,b73c2d6d8d9e3f6b297ae6ee66e2546b9cbdfd53
843b95779aec75b24fa981e371f788fac7146627,ee79acdb9aceea649bd54a356ceff8cc4f3adf6c
1c28e5ed64d31c7dabfe00f9f79099f72cde4a89,d5f941b003acd33021b3707168a052d36681b610
4c72bfc3a6a43a75fa2070963e6ec3e63a9fec4b,354dd3b7fffffb9fea6e2fe06e0ffe407e531054
c330ee13d69d3ce48865ad56967883ec661d8ddd,a688ede563cd6977d6f199f4f2f4d0a1584e4a94
7f50024e8f41310260f599eebbf986d18819d70b,f7c9e698c7aa1a5298d2b7aa73731fa56c8eede3
c4d1649fd7be81399e9f1f60eab3573f9d830e66,e114125deec4727fb7fab5440ac679b87dd8f51a
d1fb1973c18bee162dfb11394eb38824210a13d9,91609ec897869581809278e0c4c7fae65b7255ed
0f755e45f675847052a2223307bbb7d4254bd3bb,04dcdc1f66c7e968d6f461bd8aff407653b7cdaa
0150259c6db431d750f16b31a42e3a286e56be79,b18b91b0ac1771278d68eef215df2d22a143202a
59dc70d830efa864d99a446ec86ab9ed48021dfe,3250737ea8c9dce4866b8197028d3df44cd50869
59dc70d830efa864d99a446ec86ab9ed48021dfe,e643b092773f87082d177ea3fb9449f6ec56ceb5
81ddd19dc53e5a6129e1fe6d23bb65e59bd1cd0a,10c07773def42d0e756ee31de5779821a25e0238
81ddd19dc53e5a6129e1fe6d23bb65e59bd1cd0a,5f97b74c80ccecb5a9e843e53dc847df7faa5909
10c07773def42d0e756ee31de5779821a25e0238,5f97b74c80ccecb5a9e843e53dc847df7faa5909
76446cfad1ddcd98eb9943825c3b844d775def2c,62d7cafa22058e92cc45fcd4e2610905aeff2bd5
9640d07e0755ee37e729b82b4aae1177bae1bfb9,3f7c174f9f7daefe3e4a4552296c95106702d7ea
9640d07e0755ee37e729b82b4aae1177bae1bfb9,ffc5c041656e27f1aa55043e501dfbe0759795d1
3f7c174f9f7daefe3e4a4552296c95106702d7ea,ffc5c041656e27f1aa55043e501dfbe0759795d1
1bf6573d56df8e1631520392362c84c5e2d6546e,0ead56d122098a8ec83264a213cf2ec13fb591fb
8837701cd0b5d20000d89b4b313bd7ba446a916b,c42af56b962d43399438c19ac1e6cbe805c7bbec
7ec7ff18563a579755a041e99e7efccc4c996833,63f28faafdb2805265e5734dbce8b0e76689111e
b77dcad2ae06ab0ede00e29b36197f992c3f14de,588ab600c5203c95c2cf1a59504415e6af7b77c8
b77dcad2ae06ab0ede00e29b36197f992c3f14de,f01f165201da236a6592ebd6d62a39b62f6fea05
94784494297201ee3d9c52fd812cd3bc7d8fa77e,7c243da1d6cee8530e6dd926e85e577af28adb70
c78267142dc86b05555fb130babcd49539bcc081,b3a0a112535b1975afa0f0122c901811e69769aa
e4d0e05dc01d3fe7a9f0e975566d94c45ec5bbd2,4d4b0abfe0bd3bf8d8b2c962b3d124f3aca0b51a
3ac7344b2a48ee5cb139ec8eda7e666d67133b35,dcc1036bf4175ac85594de9fd0e30ab9c8614978
37b2ecb12a09910d1112334e0fca0e46a4e46ab0,4855466be4c919f63df0acb1cf3a76b4b5e081c3
37b2ecb12a09910d1112334e0fca0e46a4e46ab0,3c5a68b5b88a5747b916a5ea126dbd57ba0c5986
37b2ecb12a09910d1112334e0fca0e46a4e46ab0,99df79a51fc564db190cfd071000754d14bed470
4855466be4c919f63df0acb1cf3a76b4b5e081c3,3c5a68b5b88a5747b916a5ea126dbd57ba0c5986
4855466be4c919f63df0acb1cf3a76b4b5e081c3,99df79a51fc564db190cfd071000754d14bed470
e0a63035bfa6436f7337c1e68b9a37f05271aa92,de5971265412f8d86095d30717bea3e4f1c70436
17cb7d25fa339ae974511cea52dec1144d26b27f,9dc53353716310f892e9af49e6784f4d7811aaca
17cb7d25fa339ae974511cea52dec1144d26b27f,4a502b45d9e441ff065a79e8800c8d5cc6f700f6
9dc53353716310f892e9af49e6784f4d7811aaca,4a502b45d9e441ff065a79e8800c8d5cc6f700f6
bbae9c11fad3427305ab683db4c336b61f8db2f6,f2e286691ca1c182ac8a1ef3da27f378e495628d
791fccb41d2c407ac58e4881d09f304f462812c8,78899290f07debdbf5a748286118ea1c67d3eb2f
791fccb41d2c407ac58e4881d09f304f462812c8,beec086cf1e12c7de593aead5bf0a71d218556f6
791fccb41d2c407ac58e4881d09f304f462812c8,c7406507f1b1d0bb8a601c0751564eb1b9b012d1
78899290f07debdbf5a748286118ea1c67d3eb2f,beec086cf1e12c7de593aead5bf0a71d218556f6
78899290f07debdbf5a748286118ea1c67d3eb2f,c7406507f1b1d0bb8a601c0751564eb1b9b012d1
7968a9a729fd631ce4388106f55aede2cb1b247b,ea11c78cd536ac92eee8c597c13915e1c0b1aae2
15401d8649c879c46373dde47d389f37064c7f95,de0da147fb50a47cbfe4bd3d26ade69630919070
